,City,Clouds,Country,Date,Lat,Lng,Max Temp,Winds
66,Cockburn Town,88,TC,1553818367,21.46,-71.14,73.78,8.28
67,Kapaa,75,US,1553818393,22.08,-159.32,75.2,17.22
68,Naze,56,NG,1553818440,5.43,7.07,77.83,7.83
69,Lebu,36,ET,1553818472,8.96,38.73,47.05,3.13
70,Mehamn,76,NO,1553818401,71.03,27.85,30.58,13.47
71,Broken Hill,76,AU,1553814000,-31.97,141.45,78.8,10.29
72,Vardo,20,US,1553818325,39.62,-77.74,60.01,3.36
73,Guerrero Negro,0,MX,1553818418,27.97,-114.04,68.74,14.88
74,Kavieng,64,PG,1553818419,-2.57,150.8,84.4,8.84
75,Jalgaon,0,IN,1553818576,21.0,75.57,69.28,1.28
76,Ilulissat,75,GL,1553813400,69.22,-51.1,8.6,20.8
77,Clarksburg,40,US,1553818276,39.28,-80.34,62.6,5.82
78,Karpathos,92,GR,1553817000,35.51,27.21,59.0,17.22
79,Mandali,0,IQ,1553818576,33.75,45.55,49.93,3.06
80,Luanda,75,AO,1553814000,-8.83,13.24,75.2,2.24
81,Rocha,0,UY,1553818196,-34.48,-54.34,63.25,10.18
82,Belyy Yar,0,RU,1553815800,53.6,91.39,17.6,4.47
83,Elizabeth City,1,US,1553818494,36.3,-76.22,57.99,7.61
84,Collingwood,90,CA,1553818563,44.5,-80.22,45.0,4.7
85,Esperance,40,TT,1553818208,10.24,-61.45,80.6,10.29
86,Bontang,92,ID,1553818578,0.12,117.47,74.23,10.45
87,Aljezur,0,PT,1553818550,37.31,-8.8,57.99,13.91
88,Barrow,76,AR,1553818378,-38.31,-60.23,69.46,12.91
89,Sao Jose da Coroa Grande,100,BR,1553818579,-8.9,-35.15,79.45,6.93
90,San Patricio,0,PY,1553818579,-26.98,-56.83,73.06,2.57
91,Aars,0,DK,1553818579,56.8,9.52,44.01,8.05
92,Tazovskiy,88,RU,1553818580,67.47,78.7,28.24,14.7
93,Laramie,20,US,1553818300,41.31,-105.59,52.0,17.22
94,Kongolo,8,CD,1553818580,-5.39,27.0,69.91,2.28
95,Murwara,0,IN,1553818581,23.85,80.4,62.98,2.62
96,Zogno,0,IT,1553818580,45.79,9.66,52.0,5.82
97,Tianpeng,92,CN,1553818581,28.88,112.34,57.76,2.62
98,Kaitangata,8,NZ,1553818341,-46.28,169.85,61.0,4.0
99,Borovoy,0,RU,1553818582,63.23,52.89,13.66,3.8
100,Honningsvag,76,NO,1553818320,70.98,25.97,32.92,14.32
101,Houston,1,US,1553818363,29.76,-95.37,72.0,5.82
102,Bambous Virieux,40,MU,1553818145,-20.34,57.76,80.6,4.7
103,Pahrump,20,US,1553818248,36.21,-115.98,72.0,12.75
104,Baruun-Urt,64,MN,1553818427,46.68,113.28,20.41,10.85
105,Hay River,75,CA,1553814000,60.82,-115.79,39.2,9.17
106,Kokopo,68,PG,1553818584,-4.34,152.27,81.61,4.25
107,Tezu,0,IN,1553818584,27.93,96.16,54.88,2.01
108,Gold Coast,92,AU,1553818446,-28.0,153.41,82.0,1.99
109,Chicama,75,PE,1553814000,-7.84,-79.15,69.8,11.41
110,Seoul,75,KR,1553816400,37.57,126.98,46.4,2.24
111,Saskylakh,32,RU,1553818390,71.97,114.09,16.0,11.12
112,Huejuquilla el Alto,0,MX,1553818585,22.63,-103.9,75.94,6.08
113,Avera,1,US,1553818266,33.19,-82.53,66.2,2.91
114,Hithadhoo,20,MV,1553818585,-0.6,73.08,83.14,1.79
115,Progreso,0,UY,1553817686,-34.68,-56.22,69.8,8.05
116,Vao,12,EE,1553818426,59.1,26.19,35.53,9.84
117,Ostrovnoy,36,RU,1553818496,68.05,39.51,29.23,15.93
118,Port Alfred,12,ZA,1553818414,-33.59,26.89,66.13,13.8
119,Oxford,1,US,1553818387,33.61,-85.83,69.8,4.7
120,Lerwick,92,GB,1553817000,60.15,-1.15,48.2,33.33
121,Ourem,0,PT,1553818553,39.64,-8.59,60.01,2.24
122,Vodnyy,0,RU,1553818587,63.51,53.41,20.5,3.62
123,New Norfolk,0,AU,1553818575,-42.78,147.06,73.99,18.34
124,Puerto Madryn,0,AR,1553818511,-42.77,-65.04,67.03,2.01
125,Ketchikan,1,US,1553813760,55.34,-131.65,60.8,4.7
126,Micheweni,24,TZ,1553818588,-4.97,39.83,81.7,3.85
127,Tokur,32,RU,1553818589,53.13,132.9,13.93,3.13
128,Emerald,90,AU,1553818216,-23.53,148.16,75.2,13.87
129,Hami,0,CN,1553818455,42.84,93.51,36.61,7.61
130,Vaitape,12,PF,1553818589,-16.52,-151.75,84.94,1.9
131,Bonthe,0,SL,1553818475,7.53,-12.5,79.9,4.63
132,Challapata,12,BO,1553818590,-18.9,-66.78,39.94,2.8
133,Clearwater,1,US,1553818330,27.97,-82.8,73.99,9.17
134,Pevek,48,RU,1553818413,69.7,170.27,-0.21,4.29
135,Caxito,92,BR,1553818590,-22.65,-42.51,68.11,3.24
136,Saint George,20,GR,1553818412,39.45,22.34,50.0,3.36
137,Pisco,75,PE,1553814000,-13.71,-76.2,71.6,4.7
138,Angoche,88,MZ,1553818591,-16.23,39.91,80.44,8.16
139,Ribeira Brava,20,PT,1553818168,32.65,-17.07,62.6,8.05
140,North Branch,1,US,1553818591,45.51,-92.98,48.2,3.36
141,Saint Anthony,20,US,1553818418,43.97,-111.68,50.0,8.05
142,Linxia,0,CN,1553818592,35.6,103.21,24.28,2.57
143,Castro,0,CL,1553814000,-42.48,-73.76,55.4,6.93
144,Arraial do Cabo,92,BR,1553818472,-22.97,-42.02,72.25,5.86
145,Vanimo,56,PG,1553818471,-2.67,141.3,82.78,10.4
146,Hailey,40,US,1553817653,43.52,-114.32,39.2,6.93
147,Tamiahua,0,MX,1553818593,21.28,-97.45,74.32,16.15
148,Flin Flon,75,CA,1553814000,54.77,-101.88,35.6,11.41
149,Khatanga,68,RU,1553818386,71.98,102.47,19.33,18.95
150,Namibe,8,AO,1553818464,-15.19,12.15,79.45,6.26
151,Qaanaaq,44,GL,1553818388,77.48,-69.36,-0.93,6.31
152,Carnarvon,0,ZA,1553818427,-30.97,22.13,55.24,4.25
153,Lazaro Cardenas,5,MX,1553818322,28.39,-105.62,84.2,5.82
154,Barra,20,BR,1553818595,-11.09,-43.14,75.13,7.43
155,Ribeira Grande,0,PT,1553818415,38.52,-28.7,58.48,8.1
156,Ilhabela,80,BR,1553818595,-23.78,-45.36,73.06,12.97
157,Bethel,20,US,1553816220,60.79,-161.76,39.2,4.7
158,Bukama,56,CD,1553818596,-9.2,25.85,69.01,3.13
159,Norman Wells,75,CA,1553814000,65.28,-126.83,41.0,6.93
160,Klaksvik,64,FO,1553817000,62.23,-6.59,39.2,23.04
161,Sorland,20,NO,1553818526,67.67,12.69,38.86,24.09
162,Camopi,68,GF,1553818597,3.17,-52.33,79.81,4.07
163,Barroquinha,88,BR,1553818597,-3.02,-41.13,78.1,8.1
164,Chokurdakh,56,RU,1553818598,70.62,147.9,13.75,16.93
165,Naryan-Mar,48,RU,1553818537,67.67,53.09,24.91,16.37
166,Finschhafen,80,PG,1553818511,-6.6,147.85,75.49,0.22
167,Bogorodskoye,88,RU,1553818598,52.37,140.44,18.61,7.16
168,Palmer,75,AU,1553818590,-34.85,139.16,71.01,25.28
169,Ponta Delgada,40,PT,1553818464,37.73,-25.67,55.4,8.05
170,Wanning,90,AT,1553818586,48.64,13.53,44.6,1.12
171,Kambove,8,CD,1553818599,-10.88,26.6,64.24,5.14
172,Yabelo,12,ET,1553818600,4.89,38.09,56.14,2.73
173,Airai,44,TL,1553818478,-8.93,125.41,73.96,1.39
174,Upernavik,68,GL,1553818600,72.79,-56.15,9.34,8.28
175,San Jose,68,PH,1553818601,15.79,120.99,75.49,3.06
176,North Bend,90,US,1553818237,43.41,-124.22,55.99,5.82
177,Remscheid,0,DE,1553818586,51.18,7.19,46.99,2.24
178,Kulhudhuffushi,0,MV,1553818602,6.62,73.07,84.04,6.87
179,Padang,12,ID,1553814000,-0.92,100.36,78.8,4.7
180,Jatai,0,IN,1553818361,28.97,76.18,64.78,1.79
181,Tilichiki,48,RU,1553818535,60.47,166.1,16.9,7.16
182,Hino,75,JP,1553818514,35.66,139.41,50.0,4.7
183,Pangai,75,TO,1553814000,-19.8,-174.35,82.4,1.34
184,Safranbolu,32,TR,1553818603,41.25,32.69,26.08,2.06
185,Tuatapere,8,NZ,1553818205,-46.13,167.69,63.0,2.8
186,Maturin,92,VE,1553818604,9.75,-63.18,80.08,9.17
187,Dzilam Gonzalez,0,MX,1553818519,21.28,-88.93,80.17,6.53
188,Abu Dhabi,75,AE,1553816220,24.47,54.37,69.8,6.93
189,Khasan,56,RU,1553818604,42.43,130.64,36.43,4.63
190,Puerto Leguizamo,80,CO,1553818604,-0.19,-74.78,75.94,2.35
191,Aschersleben,75,DE,1553818548,51.76,11.46,48.99,2.24
192,Mweka,12,CD,1553818605,-4.85,21.56,73.78,2.24
193,Linkoping,0,SE,1553818596,58.41,15.62,46.99,17.22
194,Takoradi,0,GH,1553818606,4.89,-1.75,81.61,6.93
195,Letlhakane,0,BW,1553818606,-21.42,25.59,66.22,3.91
196,Zorritos,90,PE,1553814000,-3.68,-80.68,89.6,9.17
197,Erdenet,68,MN,1553818606,49.03,104.04,17.26,3.51
198,Mirante do Paranapanema,0,BR,1553814000,-22.29,-51.91,80.6,12.75
199,Karmala,0,IN,1553818607,18.41,75.19,64.42,3.62
200,Salyan,92,AZ,1553818607,39.59,48.98,46.6,10.67
201,Walvis Bay,76,NA,1553817729,-22.95,14.51,66.2,3.36
202,Pacific Grove,1,US,1553818592,36.62,-121.92,63.0,16.11
203,Rio Gallegos,0,AR,1553814000,-51.62,-69.22,53.6,17.22
204,Igrim,56,RU,1553818469,63.19,64.42,30.13,2.8
205,Beinamar,20,TD,1553818608,8.67,15.38,82.6,8.88
206,Sao Miguel do Araguaia,80,BR,1553818609,-13.28,-50.16,79.27,4.63
207,Talnakh,88,RU,1553818437,69.49,88.39,22.57,20.07
208,Camacupa,36,AO,1553818609,-12.02,17.48,64.96,3.06
209,Svetlaya,0,RU,1553818449,46.54,138.33,26.26,9.06
210,Port Blair,0,IN,1553818334,11.67,92.75,82.96,1.01
211,Port Elizabeth,1,US,1553818413,39.31,-74.98,53.01,5.82
212,Ler,75,NO,1553818501,63.2,10.3,51.8,17.22
213,Kalachinsk,92,RU,1553818610,55.05,74.58,29.77,16.22
214,Nanlong,12,CN,1553818610,31.35,106.05,55.33,8.28
215,Bredasdorp,80,ZA,1553817700,-34.53,20.04,66.2,4.7
216,Bay Roberts,5,CA,1553818510,47.58,-53.28,28.99,8.05
217,Ayabaca,100,PE,1553818611,-4.64,-79.72,59.47,1.5
218,Zhangjiakou,76,CN,1553818497,40.77,114.88,28.33,3.02
219,Provideniya,90,RU,1553815800,64.42,-173.23,28.4,13.42
220,Necochea,36,AR,1553818304,-38.55,-58.74,64.99,1.01
221,Trier,1,DE,1553818603,49.76,6.64,46.99,5.82
222,Kidal,0,ML,1553818612,18.44,1.41,81.16,10.4
223,Luan,0,CH,1553818612,46.36,6.98,45.0,6.93
224,Carballo,0,ES,1553818590,43.21,-8.69,57.0,2.24
225,Minas,0,UY,1553814000,-34.38,-55.24,64.4,9.17
226,Aldan,12,RU,1553818613,58.61,125.39,9.43,1.57
227,Kangaatsiaq,36,GL,1553818483,68.31,-53.46,12.76,15.88
228,Saint-Philippe,90,CA,1553818387,45.36,-73.48,43.0,14.99
229,Glendive,90,US,1553816100,47.11,-104.71,44.6,6.82
230,Kabansk,40,RU,1553815800,52.06,106.65,21.2,4.47
231,Nobeoka,92,JP,1553818284,32.66,131.66,53.01,1.79
232,Port-Gentil,40,GA,1553814000,-0.72,8.78,80.6,4.7
233,Ukiah,75,US,1553818411,39.15,-123.21,54.0,10.29
234,Port Lincoln,12,AU,1553818488,-34.72,135.86,63.34,22.48
235,Te Anau,0,NZ,1553818418,-45.41,167.72,62.89,3.24
236,Cabo San Lucas,5,MX,1553817741,22.89,-109.91,84.99,9.17
237,Ranipur,0,IN,1553818616,25.25,79.06,67.12,4.41
238,Honiara,24,SB,1553818528,-9.43,159.96,84.4,2.62
239,Hasaki,75,JP,1553817877,35.73,140.83,45.0,12.75
240,Torbay,5,CA,1553818061,47.66,-52.73,28.99,8.05
241,La Asuncion,88,EC,1553818617,-1.64,-78.74,50.56,1.79
242,Athabasca,0,CA,1553818617,54.72,-113.29,44.89,8.32
243,Utete,24,TZ,1553818617,-7.99,38.76,73.69,2.62
244,Iberia,92,PE,1553818617,-11.41,-69.49,82.87,4.07
245,Scottsbluff,90,US,1553818572,41.87,-103.67,45.0,11.41
246,Ponta do Sol,56,BR,1553818392,-20.63,-46.0,74.32,8.84
247,Geraldton,5,CA,1553814000,49.72,-86.95,26.6,13.87
248,Broome,0,GB,1553818446,52.47,1.45,45.0,5.82
249,Przhevalskoye,64,RU,1553818618,55.51,31.85,34.54,10.85
250,Half Moon Bay,75,US,1553818221,37.46,-122.43,63.0,12.75
251,Souillac,0,FR,1553818239,45.6,-0.6,50.0,2.24
252,Zolochiv,0,UA,1553815800,50.28,35.98,30.2,4.47
253,Luis Correia,88,BR,1553818619,-2.88,-41.67,78.1,8.1
254,Bose,0,IT,1553818607,45.46,8.01,48.99,4.7
255,Ancud,0,CL,1553814000,-41.87,-73.83,55.4,6.93
256,Maniitsoq,64,GL,1553818526,65.42,-52.9,15.19,12.64
257,Hobyo,0,SO,1553818620,5.35,48.53,79.63,9.06
258,Katsuura,75,JP,1553817868,33.93,134.5,50.0,6.93
259,Luderitz,0,NA,1553818436,-26.65,15.16,61.72,6.76
260,Butterworth,75,MY,1553815800,5.4,100.37,82.4,3.36
261,Rapar,0,IN,1553818621,23.57,70.65,75.58,8.77
262,Carai,100,BR,1553818622,-17.19,-41.69,70.9,6.42
263,Maryville,40,US,1553818412,40.35,-94.87,55.0,5.82
264,Los Andes,0,CL,1553818604,-32.83,-70.6,71.6,12.75
265,Shush,0,RU,1553818622,55.6,89.45,15.01,2.57
266,Patiala,76,IN,1553818623,30.33,76.41,66.85,2.8
267,Sinnamary,100,GF,1553818470,5.38,-52.96,80.08,12.64
268,Husavik,68,CA,1553818234,50.56,-96.99,30.99,3.0
269,Sangar,0,RU,1553818623,63.92,127.47,4.66,2.51
270,Tautira,40,PF,1553818344,-17.73,-149.15,87.8,11.41
271,Margate,0,AU,1553818455,-43.03,147.26,73.99,18.34
272,Bagarji,88,PK,1553818624,27.76,68.75,77.38,2.73
273,Saldanha,0,PT,1553818624,41.42,-6.55,40.93,5.08
274,Berlevag,64,NO,1553818449,70.86,29.09,30.13,12.46
275,Contamana,100,PE,1553818625,-7.35,-75.01,72.88,2.62
276,Ardatov,80,RU,1553818625,55.24,43.1,25.36,6.93
277,Flinders,0,AU,1553818328,-34.58,150.85,75.0,4.7
278,Shache,0,CN,1553818625,38.42,77.24,38.14,4.59
279,Tura,0,IN,1553818532,25.52,90.21,62.62,3.29
280,Gorodishche,48,RU,1553818626,53.27,45.7,23.56,4.41
281,Hazro,75,TR,1553817000,38.25,40.78,45.0,4.7
282,Laguna,5,MX,1553816880,27.52,-110.01,86.0,6.93
283,Kodiak,40,US,1553818326,39.95,-94.76,55.0,5.82
284,Makinsk,88,KZ,1553818627,52.63,70.42,35.8,11.12
285,Ngawen,36,ID,1553818628,-7.02,111.3,73.6,4.14
286,Nanortalik,68,GL,1553818431,60.14,-45.24,27.25,10.4
287,Umm Lajj,0,SA,1553818628,25.02,37.27,60.28,5.03
288,Hanmer Springs,0,NZ,1553818629,-42.52,172.83,58.84,3.24
289,Taoudenni,24,ML,1553818629,22.68,-3.98,72.79,9.17
290,Nabire,0,ID,1553818629,-3.36,135.5,77.47,1.5
291,Pindiga,12,NG,1553818386,9.98,10.93,77.11,8.05
292,Los Llanos de Aridane,20,ES,1553818202,28.66,-17.92,59.0,6.93
293,Qaqortoq,8,GL,1553813400,60.72,-46.03,15.8,8.05
294,Qeshm,0,IR,1553814000,26.96,56.27,68.0,4.7
295,Maceio,40,BR,1553814000,-9.67,-35.74,80.6,5.82
296,Faya,0,SA,1553814000,18.39,42.45,59.0,6.93
297,Tiksi,76,RU,1553818412,71.64,128.87,15.1,19.57
298,Coruripe,80,BR,1553818631,-10.12,-36.18,82.51,11.79
299,Borgentreich,20,DE,1553818456,51.57,9.24,50.0,1.12
300,Mehran,0,IR,1553814000,33.12,46.17,37.4,2.24
301,Corumba,20,BR,1553814000,-19.0,-57.65,84.2,4.7
302,Soe,0,EE,1553818349,57.91,26.05,39.99,14.99
303,Bria,20,CF,1553818632,6.54,21.99,69.1,7.83
304,Great Falls,90,US,1553818017,47.5,-111.29,36.0,14.99
305,Gharo,44,PK,1553813700,24.74,67.58,78.8,5.82
306,Komsomolskiy,76,RU,1553818533,67.55,63.78,24.73,14.14
307,Datong,44,CN,1553818634,40.09,113.3,31.75,6.31
308,Kamina,68,CD,1553818634,-8.74,25.0,68.56,3.51
309,Pangnirtung,92,CA,1553818635,66.15,-65.72,14.29,11.56
310,Zyryanka,0,RU,1553818635,65.73,150.89,11.05,2.24
311,Fairbanks,90,US,1553818314,64.84,-147.72,44.6,5.14
312,Byron Bay,40,AU,1553818551,-28.65,153.62,77.0,8.05
313,Hambantota,0,LK,1553818412,6.12,81.12,78.82,4.14
314,Labuhan,68,ID,1553818388,-2.54,115.51,74.68,2.39
315,Atambua,56,ID,1553818424,-9.11,124.89,78.1,4.36
316,Beipiao,20,CN,1553818636,41.8,120.76,34.36,4.29
317,Sao Gabriel da Cachoeira,80,BR,1553818637,-0.13,-67.09,76.03,2.39
318,Matamoros,40,US,1553818625,25.87,-97.51,77.0,20.8
319,Haines Junction,0,CA,1553818637,60.75,-137.51,42.46,2.8
320,Todos Santos,5,MX,1553818621,23.45,-110.23,84.99,6.93
321,Jalu,36,LY,1553818417,29.03,21.55,59.83,11.68
322,College,90,US,1553818314,64.86,-147.8,44.6,5.14
323,Xining,0,CN,1553818638,36.62,101.77,18.97,3.24
324,Norwich,0,GB,1553818596,52.63,1.29,44.6,5.82
325,Agadez,36,NE,1553818639,16.97,7.99,76.3,10.56
326,Ormara,88,PK,1553818639,25.21,64.64,78.64,10.78
327,Yangjiang,92,CN,1553818520,21.85,111.96,79.0,5.75
328,Mana,0,RS,1553817600,43.52,20.24,32.0,1.12
329,Paamiut,56,GL,1553818404,61.99,-49.67,27.61,17.94
330,Portsmouth,0,GB,1553818341,50.8,-1.08,45.0,6.93
331,Itarema,32,BR,1553818492,-2.92,-39.92,75.67,5.08
332,Siniscola,0,IT,1553817000,40.57,9.69,41.0,3.36
333,Cristobal Obregon,5,MX,1553816820,16.35,-93.53,77.0,18.34
334,Dinajpur,0,BD,1553818641,25.63,88.63,66.58,3.8
335,Kirkwall,76,GB,1553818591,58.98,-2.96,48.99,9.17
336,Batsfjord,20,NO,1553817000,70.63,29.72,23.0,5.82
337,Makakilo City,20,US,1553818346,21.35,-158.09,82.4,11.41
338,Yerbogachen,76,RU,1553818642,61.28,108.01,23.11,2.62
339,Lagoa,0,PT,1553818338,37.14,-8.45,59.0,16.11
340,Fethiye,75,TR,1553818596,36.62,29.12,50.0,4.7
341,Vila Franca do Campo,40,PT,1553818464,37.72,-25.43,55.4,8.05
342,Verkhnevilyuysk,20,RU,1553818643,63.45,120.31,9.43,4.07
343,Valencia,75,ES,1553818451,39.47,-0.38,52.0,4.7
344,Izumo,0,JP,1553814000,35.37,132.75,44.6,4.7
345,Lichinga,0,MZ,1553814000,-13.3,35.25,62.6,10.29
346,Kikwit,8,CD,1553818644,-5.04,18.82,75.13,2.35
347,Faanui,0,PF,1553818645,-16.48,-151.75,84.76,0.83
348,Beringovskiy,76,RU,1553818645,63.05,179.32,27.7,4.92
349,Coquimbo,0,CL,1553814000,-29.95,-71.34,59.0,4.7
350,Jumla,0,NP,1553818645,29.28,82.18,27.88,2.91
351,Dingle,24,PH,1553818460,11.0,122.67,77.38,5.75
352,Cayenne,0,GF,1553815800,4.94,-52.33,80.6,9.17
353,Pala,20,IN,1553818349,9.71,76.68,80.6,1.79
354,Darhan,76,MN,1553818395,49.49,105.92,20.5,5.82
355,Wajima,20,JP,1553814000,37.4,136.9,41.0,3.36
356,Grindavik,75,IS,1553818483,63.84,-22.43,30.99,24.16
357,Mangrol,0,IN,1553818647,25.33,76.51,65.14,2.8
358,Denpasar,20,ID,1553815800,-8.65,115.22,80.6,2.24
359,Emba,75,CY,1553818622,34.81,32.42,55.4,5.82
360,Lavumisa,8,ZA,1553814000,-27.31,31.88,71.6,2.24
361,Kasamwa,32,TZ,1553818648,-2.84,32.42,58.03,3.13
362,Griffith,80,AU,1553818217,-34.29,146.06,80.01,17.22
363,Praya,75,ID,1553815800,-8.71,116.27,78.8,4.81
364,Mar del Plata,0,AR,1553818150,-46.43,-67.52,58.21,5.93
365,Portland,1,US,1553818385,45.52,-122.67,64.99,4.7
366,Conakry,40,GN,1553817600,9.52,-13.7,80.6,8.16
367,Whitehorse,20,CA,1553818325,60.72,-135.06,53.01,10.29
368,Asosa,20,ET,1553818649,10.07,34.53,61.54,1.72
369,Dunda,12,IN,1553818650,30.62,78.32,43.9,2.57
370,Ojinaga,1,US,1553818529,29.56,-104.41,89.6,5.82
371,Damietta,0,EG,1553814000,31.42,31.81,62.6,8.05
372,Teguise,0,ES,1553815800,29.06,-13.56,62.6,6.93
373,Gualaca,20,PA,1553817600,8.54,-82.3,86.0,6.93
374,Natal,76,BR,1553818651,-5.81,-35.21,75.67,4.29
375,Aklavik,40,CA,1553814000,68.22,-135.01,41.0,9.17
376,Iguape,92,BR,1553818651,-24.7,-47.56,70.81,8.05
377,Sitka,0,US,1553817660,37.17,-99.65,53.01,14.0
378,Binzhou,92,CN,1553818162,37.38,117.96,48.99,7.94
379,Lasa,75,CY,1553817736,34.92,32.53,55.4,5.82
380,Abastumani,88,GE,1553815800,41.75,42.83,39.2,2.24
381,Barranca,64,PE,1553818653,-10.75,-77.76,69.91,6.93
382,Rio Branco,40,BR,1553814000,-9.98,-67.82,77.0,1.12
383,Tiznit,0,MA,1553818490,29.7,-9.73,55.33,1.23
384,Udachnyy,12,RU,1553818383,66.42,112.4,14.29,2.84
385,Gigmoto,44,PH,1553818653,13.78,124.39,78.01,5.59
386,Mombaca,36,BR,1553818654,-5.74,-39.63,73.42,4.74
387,Pimentel,76,BR,1553818654,-3.7,-45.5,74.86,2.57
388,Facatativa,75,CO,1553814000,4.81,-74.35,62.6,6.93
389,Ayan,0,TR,1553818655,40.67,33.6,16.63,2.28
390,Novikovo,0,UA,1553818655,45.05,34.56,31.84,6.53
391,Cabra,0,ES,1553818376,37.47,-4.43,46.4,1.12
392,Altagracia de Orituco,0,VE,1553818655,9.86,-66.38,85.75,9.95
393,Verkhnyaya Inta,56,RU,1553818656,65.99,60.32,31.03,5.14
394,Touros,64,BR,1553818359,-5.2,-35.46,76.21,4.74
395,Bubaque,0,GW,1553818452,11.28,-15.83,80.44,16.82
396,Vostok,20,RU,1553818465,46.45,135.83,23.2,2.91
